method,1,3,12,15,20,50,70,100,150,200,289
PCA,4.76e-03 +/- 1.80e-03,1.92e-03 +/- 1.64e-03,3.05e-04 +/- 1.26e-04,2.31e-04 +/- 9.85e-05,1.67e-04 +/- 7.16e-05,6.28e-05 +/- 3.67e-05,4.76e-05 +/- 3.15e-05,3.65e-05 +/- 2.73e-05,2.93e-05 +/- 2.50e-05,2.62e-05 +/- 2.37e-05,2.36e-05 +/- 2.26e-05
linearAE_biasFalse,,3.59e-03 +/- 1.95e-03,4.80e-04 +/- 2.14e-04,3.56e-04 +/- 1.51e-04,3.50e-04 +/- 1.54e-04,,2.23e-04 +/- 9.05e-05,,,,
linearAE,,9.47e-03 +/- 2.57e-03,6.50e-03 +/- 2.04e-03,2.94e-03 +/- 1.59e-03,3.19e-04 +/- 1.22e-04,,2.20e-04 +/- 9.33e-05,,,,
AE,,4.94e-04 +/- 2.31e-04,4.00e-04 +/- 2.03e-04,3.53e-04 +/- 1.60e-04,3.22e-04 +/- 1.55e-04,,1.40e-04 +/- 8.79e-05,,,,
AE_ReLU,,,3.49e-04 +/- 1.74e-04,,,,,,,,
