method,1,3,12,15,20,50,70,100,150,200,289
PCA,2.46e+01 +/- 4.57e+00,1.50e+01 +/- 5.29e+00,6.19e+00 +/- 1.30e+00,5.39e+00 +/- 1.12e+00,4.57e+00 +/- 9.98e-01,2.76e+00 +/- 7.83e-01,2.38e+00 +/- 7.63e-01,2.06e+00 +/- 7.39e-01,1.82e+00 +/- 7.36e-01,1.71e+00 +/- 7.31e-01,1.60e+00 +/- 7.34e-01
linearAE_biasFalse,,2.10e+01 +/- 5.52e+00,7.73e+00 +/- 1.77e+00,6.69e+00 +/- 1.41e+00,6.62e+00 +/- 1.44e+00,,5.31e+00 +/- 1.05e+00,,,,
linearAE,,3.49e+01 +/- 4.81e+00,2.89e+01 +/- 4.43e+00,1.91e+01 +/- 4.59e+00,6.35e+00 +/- 1.25e+00,,5.26e+00 +/- 1.09e+00,,,,
AE,,7.83e+00 +/- 1.90e+00,7.02e+00 +/- 1.79e+00,6.65e+00 +/- 1.45e+00,6.33e+00 +/- 1.47e+00,,5.86e+00 +/- 1.33e+00,,,,
AE_ReLU,,,6.57e+00 +/- 1.64e+00,,,,,,,,
