method,1,3,12,15,20,50,70,100,150,200,289
PCA,1.27e-01 +/- 3.91e-02,1.07e-01 +/- 2.86e-02,8.80e-02 +/- 2.51e-02,8.52e-02 +/- 2.70e-02,8.40e-02 +/- 2.75e-02,7.41e-02 +/- 2.62e-02,6.50e-02 +/- 2.39e-02,6.82e-02 +/- 2.05e-02,6.10e-02 +/- 1.85e-02,6.13e-02 +/- 1.80e-02,5.86e-02 +/- 1.53e-02
linearAE_biasFalse,,1.24e-01 +/- 3.57e-02,8.57e-02 +/- 2.79e-02,9.03e-02 +/- 2.85e-02,8.71e-02 +/- 2.74e-02,,8.33e-02 +/- 2.51e-02,,,,
linearAE,,1.45e-01 +/- 5.28e-02,1.30e-01 +/- 4.39e-02,1.24e-01 +/- 3.95e-02,9.03e-02 +/- 2.76e-02,,8.38e-02 +/- 2.63e-02,,,,
AE,,9.14e-02 +/- 2.70e-02,8.81e-02 +/- 2.09e-02,9.24e-02 +/- 3.03e-02,8.73e-02 +/- 2.76e-02,,8.15e-02 +/- 2.70e-02,,,,
AE_ReLU,,,8.79e-02 +/- 2.65e-02,,,,,,,,
