method,1,3,12,15,20,50,70,100,150,200,289
PCA,2.86e+01 +/- 4.74e+00,4.10e+01 +/- 8.38e+00,6.54e+01 +/- 7.11e+00,6.75e+01 +/- 6.26e+00,7.11e+01 +/- 6.05e+00,7.96e+01 +/- 5.30e+00,8.17e+01 +/- 5.25e+00,8.37e+01 +/- 5.08e+00,8.47e+01 +/- 5.77e+00,8.56e+01 +/- 5.53e+00,8.62e+01 +/- 5.86e+00
linearAE_biasFalse,,3.11e+01 +/- 7.77e+00,5.84e+01 +/- 8.92e+00,6.39e+01 +/- 7.25e+00,6.43e+01 +/- 7.48e+00,,6.88e+01 +/- 6.20e+00,,,,
linearAE,,1.80e+01 +/- 3.65e+00,2.35e+01 +/- 3.22e+00,3.14e+01 +/- 5.77e+00,6.55e+01 +/- 6.98e+00,,6.90e+01 +/- 6.50e+00,,,,
AE,,5.90e+01 +/- 7.57e+00,6.35e+01 +/- 7.97e+00,6.51e+01 +/- 7.35e+00,6.70e+01 +/- 7.06e+00,,7.69e+01 +/- 6.02e+00,,,,
AE_ReLU,,,6.72e+01 +/- 6.80e+00,,,,,,,,
