method,1,3,12,15,20,50,70,100,150,200,289
PCA,2.88e+01 +/- 1.21e+01,4.05e+01 +/- 1.53e+01,5.93e+01 +/- 1.98e+01,6.05e+01 +/- 1.92e+01,7.05e+01 +/- 1.58e+01,7.83e+01 +/- 1.72e+01,7.85e+01 +/- 1.61e+01,8.05e+01 +/- 1.52e+01,8.49e+01 +/- 1.23e+01,8.37e+01 +/- 1.30e+01,8.66e+01 +/- 1.32e+01
linearAE_biasFalse,,3.27e+01 +/- 1.16e+01,5.78e+01 +/- 1.72e+01,6.15e+01 +/- 1.88e+01,5.95e+01 +/- 1.70e+01,,6.20e+01 +/- 2.02e+01,,,,
linearAE,,2.76e+01 +/- 1.34e+01,2.63e+01 +/- 1.14e+01,4.00e+01 +/- 1.57e+01,6.10e+01 +/- 1.93e+01,,6.15e+01 +/- 1.84e+01,,,,
AE,,5.80e+01 +/- 1.60e+01,6.17e+01 +/- 1.70e+01,6.10e+01 +/- 1.64e+01,6.54e+01 +/- 1.52e+01,,6.46e+01 +/- 1.76e+01,,,,
AE_ReLU,,,6.44e+01 +/- 1.67e+01,,,,,,,,
