method,1,3,12,15,20,30,40,50,70,100,150,200,289
PCA,4.42e+01 +/- 5.79e+00,5.76e+01 +/- 8.85e+00,7.89e+01 +/- 5.22e+00,8.04e+01 +/- 4.45e+00,8.30e+01 +/- 4.14e+00,8.57e+01 +/- 3.90e+00,8.72e+01 +/- 3.72e+00,8.85e+01 +/- 3.31e+00,8.98e+01 +/- 3.23e+00,9.10e+01 +/- 3.06e+00,9.16e+01 +/- 3.46e+00,9.22e+01 +/- 3.26e+00,9.25e+01 +/- 3.45e+00
linearAE_biasFalse,,4.69e+01 +/- 9.11e+00,7.33e+01 +/- 7.11e+00,7.78e+01 +/- 5.40e+00,7.80e+01 +/- 5.62e+00,,,,8.14e+01 +/- 4.38e+00,,,,
linearAE,,3.04e+01 +/- 5.24e+00,3.84e+01 +/- 4.13e+00,4.75e+01 +/- 6.79e+00,7.89e+01 +/- 5.12e+00,,,,8.15e+01 +/- 4.53e+00,,,,
AE,,7.40e+01 +/- 5.90e+00,8.43e+01 +/- 3.76e+00,8.62e+01 +/- 4.04e+00,8.00e+01 +/- 5.11e+00,8.43e+01 +/- 4.07e+00,,,8.68e+01 +/- 3.90e+00,,,,
AE_ReLU,,,8.02e+01 +/- 4.86e+00,,,,,,,,,,
