method,3,10,20,50,70,100,150
PCA,3.06e-01 +/- 8.42e-02,2.45e-01 +/- 6.35e-02,2.70e-01 +/- 6.92e-02,2.31e-01 +/- 8.35e-02,2.56e-01 +/- 7.55e-02,2.26e-01 +/- 7.15e-02,2.23e-01 +/- 8.60e-02
linearAE,2.56e-01 +/- 6.99e-02,2.51e-01 +/- 6.69e-02,2.32e-01 +/- 8.00e-02,2.57e-01 +/- 6.73e-02,2.48e-01 +/- 6.80e-02,2.56e-01 +/- 6.60e-02,2.44e-01 +/- 6.27e-02
AE,2.48e-01 +/- 7.01e-02,2.43e-01 +/- 6.20e-02,2.03e-01 +/- 5.20e-02,2.28e-01 +/- 7.72e-02,2.20e-01 +/- 6.64e-02,2.16e-01 +/- 7.11e-02,2.36e-01 +/- 7.22e-02
VAE,2.78e-01 +/- 6.12e-02,2.38e-01 +/- 6.75e-02,2.65e-01 +/- 6.97e-02,2.67e-01 +/- 5.51e-02,2.45e-01 +/- 5.32e-02,2.27e-01 +/- 6.14e-02,2.68e-01 +/- 7.47e-02
