method,3,10,20,50,70,100,150,614
PCA,9.73e-02 +/- 1.15e-02,9.34e-02 +/- 1.01e-02,9.10e-02 +/- 9.28e-03,8.48e-02 +/- 8.44e-03,8.24e-02 +/- 8.13e-03,7.76e-02 +/- 7.00e-03,7.11e-02 +/- 5.95e-03,5.76e-02 +/- 5.00e-03
linearAE,9.79e-02 +/- 1.10e-02,9.41e-02 +/- 1.07e-02,9.13e-02 +/- 9.24e-03,8.78e-02 +/- 8.29e-03,8.78e-02 +/- 8.57e-03,8.76e-02 +/- 8.29e-03,8.76e-02 +/- 8.56e-03,8.76e-02 +/- 8.38e-03
AE,1.05e-01 +/- 1.81e-02,9.83e-02 +/- 1.07e-02,9.82e-02 +/- 1.05e-02,9.96e-02 +/- 1.01e-02,1.01e-01 +/- 9.58e-03,9.85e-02 +/- 1.19e-02,9.86e-02 +/- 1.20e-02,9.80e-02 +/- 1.15e-02
