method,3,10,20,50,70,100,150
PCA,1.21e+01 +/- 2.60e+00,1.37e+01 +/- 1.89e+00,1.27e+01 +/- 1.65e+00,1.27e+01 +/- 2.73e+00,1.22e+01 +/- 2.85e+00,1.31e+01 +/- 3.68e+00,1.34e+01 +/- 3.16e+00
linearAE,1.33e+01 +/- 2.46e+00,1.31e+01 +/- 1.38e+00,1.26e+01 +/- 1.64e+00,1.23e+01 +/- 1.60e+00,1.26e+01 +/- 1.76e+00,1.24e+01 +/- 1.64e+00,1.22e+01 +/- 1.59e+00
AE,1.44e+01 +/- 1.53e+00,1.31e+01 +/- 1.98e+00,1.44e+01 +/- 1.74e+00,1.34e+01 +/- 1.40e+00,1.42e+01 +/- 1.93e+00,1.39e+01 +/- 1.69e+00,1.39e+01 +/- 1.80e+00
VAE,1.43e+01 +/- 2.65e+00,1.42e+01 +/- 2.20e+00,1.38e+01 +/- 2.54e+00,1.12e+01 +/- 2.61e+00,1.21e+01 +/- 2.68e+00,1.15e+01 +/- 2.53e+00,1.07e+01 +/- 2.79e+00
