method,3,10,20,50,70,100,150,614
PCA,1.24e+01 +/- 1.47e+00,1.19e+01 +/- 1.37e+00,1.17e+01 +/- 1.32e+00,1.08e+01 +/- 1.14e+00,1.06e+01 +/- 1.09e+00,9.96e+00 +/- 9.15e-01,9.15e+00 +/- 7.86e-01,7.39e+00 +/- 6.60e-01
linearAE,1.25e+01 +/- 1.49e+00,1.20e+01 +/- 1.44e+00,1.17e+01 +/- 1.32e+00,1.12e+01 +/- 1.18e+00,1.12e+01 +/- 1.21e+00,1.12e+01 +/- 1.17e+00,1.12e+01 +/- 1.21e+00,1.12e+01 +/- 1.18e+00
AE,1.32e+01 +/- 2.11e+00,1.25e+01 +/- 1.39e+00,1.26e+01 +/- 1.56e+00,1.27e+01 +/- 1.38e+00,1.28e+01 +/- 1.29e+00,1.26e+01 +/- 1.59e+00,1.26e+01 +/- 1.65e+00,1.25e+01 +/- 1.57e+00
