method,3,10,20,50,70,100,150,614
PCA,1.56e+00 +/- 8.78e-01,1.15e+00 +/- 8.93e-01,1.25e+00 +/- 9.11e-01,7.59e-01 +/- 6.54e-01,8.33e-01 +/- 7.33e-01,6.73e-01 +/- 4.95e-01,5.67e-01 +/- 6.05e-01,5.41e-01 +/- 5.74e-01
linearAE,1.11e+00 +/- 7.43e-01,9.89e-01 +/- 8.96e-01,1.16e+00 +/- 8.00e-01,7.90e-01 +/- 7.29e-01,9.43e-01 +/- 6.44e-01,8.25e-01 +/- 6.71e-01,9.36e-01 +/- 6.24e-01,8.04e-01 +/- 6.95e-01
AE,1.16e+00 +/- 8.20e-01,9.86e-01 +/- 6.82e-01,7.46e-01 +/- 5.91e-01,1.12e+00 +/- 6.66e-01,1.28e+00 +/- 7.17e-01,9.60e-01 +/- 5.97e-01,1.06e+00 +/- 6.87e-01,1.12e+00 +/- 7.14e-01
