method,3,10,20,50,70,100,150
PCA,2.22e+00 +/- 1.38e+00,1.85e+00 +/- 1.28e+00,1.94e+00 +/- 1.32e+00,1.32e+00 +/- 1.00e+00,1.45e+00 +/- 1.09e+00,1.34e+00 +/- 7.74e-01,1.07e+00 +/- 8.94e-01
linearAE,1.98e+00 +/- 1.23e+00,1.85e+00 +/- 1.30e+00,1.87e+00 +/- 1.30e+00,1.51e+00 +/- 1.11e+00,1.58e+00 +/- 9.61e-01,1.46e+00 +/- 1.06e+00,1.55e+00 +/- 9.66e-01
AE,1.77e+00 +/- 1.23e+00,1.48e+00 +/- 1.13e+00,1.17e+00 +/- 1.05e+00,1.62e+00 +/- 1.13e+00,1.76e+00 +/- 1.24e+00,1.43e+00 +/- 1.08e+00,1.56e+00 +/- 1.16e+00
VAE,1.80e+00 +/- 1.18e+00,2.23e+00 +/- 1.52e+00,2.19e+00 +/- 1.14e+00,2.19e+00 +/- 1.38e+00,1.89e+00 +/- 1.28e+00,1.60e+00 +/- 1.24e+00,1.48e+00 +/- 9.63e-01
