method,3,10,20,50,70,100,150,614
PCA,2.15e+01 +/- 4.13e+00,2.40e+01 +/- 2.93e+00,2.26e+01 +/- 2.57e+00,2.24e+01 +/- 4.32e+00,2.16e+01 +/- 4.52e+00,2.30e+01 +/- 5.82e+00,2.34e+01 +/- 4.89e+00,2.98e+01 +/- 5.51e+00
linearAE,2.34e+01 +/- 3.86e+00,2.31e+01 +/- 2.16e+00,2.23e+01 +/- 2.57e+00,2.19e+01 +/- 2.52e+00,2.23e+01 +/- 2.77e+00,2.21e+01 +/- 2.58e+00,2.17e+01 +/- 2.52e+00,2.21e+01 +/- 2.43e+00
AE,2.52e+01 +/- 2.35e+00,2.31e+01 +/- 3.10e+00,2.51e+01 +/- 2.66e+00,2.36e+01 +/- 2.19e+00,2.48e+01 +/- 2.96e+00,2.43e+01 +/- 2.60e+00,2.43e+01 +/- 2.77e+00,2.30e+01 +/- 2.06e+00
